,0\O 
707\O ,"\O Glad\Eng that\Eng Supreme\Eng Court\Eng ordered\Eng floor\Eng test\Eng .\O Its\Hin=इट time\Eng for\Eng buybacks\Eng 😂😂😂\O 

#\O FloorTest\Hin=फ्लोरतेस्ट "\O 
708\O ,\O Ok\Hin=अक guys\Eng .\O Chill\Hin=चिल .\O Jyada\Hin=ज्यादा mat\Hin=मत uchhlo\Hin=उच्छो https\Eng ://\O t\Eng .\O co\Eng /\O mL7NyROS9I\Eng 
709\O ,"\O RT\Eng @\O IPL\Eng :\O Presenting\Eng to\Eng you\Hin=यूं Superman\Eng @\O ABdeVilliers17\Eng 

#\O RCBvSRH\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O NYjUWpuwtT\Hin=नैजुपुव्त्त "\O 
710,"10\O Followed\Eng ,\O 9\O Unfollowed\Eng me\Eng (\O monitored\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )"\O 
711\O ,\O RT\Eng @\O Atheist\Eng _\O Krishna\Hin=कृष्ण :\O Aam\Hin=आअम् Aadmi\Hin=आदमी Party\Hin=पार्टी in\Eng Karnataka\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O NM9s4mmdg0\Eng 
712\O ,"\O RT\Eng @\O theskindoctor13\Eng :\O Aam\Eng Aadmi\Hin=आदमी Party\Hin=पार्टी in\Eng every\Eng election\Eng 

#\O TSDComics\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O jN6XYzteTH\Hin=ज्M6क्स्य्ज़्तेठ "\O 
713\O ,\O Ramdan\Hin=रामदन Mubarak\Hin=मुबारक Bhai\Hin=भाई log\Hin=लाग 🕌🕌🙏\O 
714\O ,"\O Yaar\Hin=यार Disha\Hin=दिशा patni\Hin=पत्नी se\Hin=सी acha\Hin=अचा to\Hin=तू #\O ShilpaShinde\Hin=शिल्पषिंदे ko\Hin=को same\Hin=समे role\Eng de\Hin=दे dete\Hin=देतें .\O She\Eng might\Eng have\Eng done\Eng more\Eng justice\Eng 
😏😏\O 
#\O Bharat\Hin=भारत "\O 
715\O ,"@\O Bharat\Hin=भारत _\O TheFilm\Eng guys\Eng follow\Eng this\Eng handle\Eng to\Eng get\Eng all\Eng latest\Eng news\Eng about\Eng #\O BharatTheFilm\Hin=भारैत्थफिल्म 

@\O aliabbaszafar\Hin=अलाय्याब्बस्ज़फर @\O BeingSalmanKhan\Hin=बेंग्सलमंखन 

#\O Bharat\Hin=भारत "\O 
716\O ,"\O Hahahaha\Hin=हहहाह .\O 
This\Eng is\Eng epic\Eng .\O #\O KarnatakaElection2018\Eng https\Eng ://\O t\Eng .\O co\Eng /\O zaheaUIHkV\Hin=ज़हीआउइक्व "\O 
717\O ,"\O Joke\Eng corner\Eng :\O -\O 
#\O KarnatakaElection2018\Eng #\O BSYeddyurappa\Eng 
*कवि*\O -\O कोशिश\O करने\O वालों\O की\O हार\O नही\O होती,\O 

*राहुल*\O *गांधी*\O -…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O fdZyZgNJhj\Hin=फ्ज्य्ज्ग्Mझ्ज् "\O 
718\O ,\O RT\Eng @\O theabbasmustan\Eng :\O Superb\Eng trailer\Eng !👏🏼\O @\O shirazwriter\Eng @\O BeingSalmanKhan\Eng @\O RameshTaurani\Eng @\O thedeol\Hin=थिडेयोल् @\O AnilKapoor\Eng @\O remodsouza\Eng @\O Asli\Hin=असली _\O Jacqueline\Eng @\O Sha\Hin=शा …\O 
719\O ,"\O Sorry\Hin=शरी गाइज़,\O i\Hin=इ was\Eng very\Eng kachha\Hin=कच्छा aam\Hin=आअम् in\Eng mathematics\Eng ,\O so\Eng 46%\O think\Eng that\Eng #\O Race3Trailer\Eng is\Eng chutiyapa\Eng not\Eng 56%\O 
;-)\O https\Eng ://\O t\Eng .\O co\Eng /\O A9t8d9bJDg\Eng "\O 
720\O ,"\O Everyone\Eng is\Eng very\Eng surprised\Eng to\Eng see\Eng oath\Eng taking\Eng ceremony\Eng of\Eng BJP\Eng in\Eng #\O karnataka\Hin=कर्नाटक 
Means\Eng full\Hin=फुल saam\Hin=साम daam\Hin=दाम dand\Hin=डांड़ bhed\Hin=भेद by\Eng modi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O pAO9N64Ltw\Eng "\O 
721,"56%\O people\Eng think\Eng that\Eng #\O race3trailer\Eng is\Eng either\Eng average\Eng or\Eng chutiyapa\Eng .\O 
Correct\Hin=कोरिक्ट ekdum\Hin=एक्दम https\Eng ://\O t\Eng .\O co\Eng /\O X9hT3fqU7B\Eng "\O 
722\O ,"\O If\Eng pandya\Eng dates\Eng elli\Eng evram\Eng then\Eng its\Eng time\Eng to\Eng suicide\Eng ;-)\O 
#\O mivskkr\Eng "\O 
723\O ,@\O ashutosh83B\Eng Chup\Hin=छुप karo\Hin=करो sir\Hin=सिअर .\O Where\Eng is\Eng billo\Hin=बिल्लों 
724\O ,"\O Cant\Eng believe\Eng ,\O aamir\Hin=आमिर khan\Hin=खान giving\Eng same\Eng expressions\Eng in\Eng all\Eng vivo\Eng ads\Eng .\O And\Eng seriously\Eng ,\O all\Eng ads\Eng r\Eng very\Eng boring\Eng 
#\O KXIPvsMI\Eng "\O 
725\O ,"\O Maaro\Hin=मारो bc\Hin=ब्ख 

#\O MiVskxip\Eng 
#\O KXIPvsMI\Eng "\O 
726\O ,"\O I\Eng hope\Eng Mumbai\Eng Indians\Eng wont\Eng do\Eng sandas\Eng in\Eng last\Eng 4\O overs\Eng .\O 
#\O MIvKXIP\Eng "\O 
727\O ,\O Modiji\Eng failed\Eng to\Eng form\Eng sarkar\Hin=सरकर in\Hin=इन #\O karnataka\Hin=कर्नाटक and\Hin=एंड i\Eng think\Eng its\Eng good\Eng and\Eng very\Eng important\Eng as\Eng in\Eng democracy\Eng it\Eng ’\O s\Eng extremely\Eng i\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O uEV9itHKbF\Hin=उएव्9इठ्क्ब्फ 
728\O ,"\O Many\Eng chutiyas\Eng come\Eng to\Hin=तू mumbai\Hin=मुंबई just\Hin=जस्ट to\Eng become\Eng fakeers\Eng by\Eng producing\Eng bad\Eng films\Eng .\O 
Production\Eng is\Eng not\Eng everyone\Eng ’\O s\Eng cup\Eng of\Eng tea\Eng ."\O 
729\O ,@\O anik\Hin=अनिक _\O asik\Hin=असिक Thanks\Eng bro\Eng 
730\O ,\O Last\Eng 24\O Hours\Eng =\O 24\O Followers\Eng and\Eng 6\O Unfollowers\Eng (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र app\Eng )\O 
731\O ,\O Wow\Hin=वो .\O Development\Eng of\Eng bihar\Hin=बिहार at\Eng its\Eng peak\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O dj4YniQpaw\Hin=द्ज्4यणीकपव 
732\O ,"\O Bjp\Eng offering\Hin=औफेअरिंग 100\O cr\Hin=क्र to\Eng Mla\Eng ...\O wow\Hin=वो ...\O 

From\Eng whom\Eng they\Eng get\Eng money\Eng ?\O 
Any\Eng guesses\Eng ?\O 

Its\Eng us\Eng ,\O चूतिया"\O 
733\O ,"\O I\Eng am\Eng deeply\Eng saddened\Eng by\Eng the\Eng loss\Eng of\Eng lives\Eng by\Eng bridge\Eng collapse\Eng in\Eng #\O Varanasi\Eng 

Bencho\Hin=बेंचो ,\O bharat\Hin=भारत me\Hin=मे jaan\Hin=जान ki\Hin=की kimat\Hin=कीमत kya\Hin=क्या sirf\Hin=सिर्फ़ …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O RUSsQsVQDE\Hin=रस्स्क़्स्व्क़द़े "\O 
734\O ,"\O The\Eng best\Eng starcast\Eng for\Eng #\O Race3\Eng would\Eng have\Eng been\Eng ,\O 

Instead\Eng of\Eng Sakib\Hin=सकिब -\O Akshay\Hin=अक्षय Khanna\Hin=खन्ना 
Daisy\Eng -\O Deepika\Eng 
Bobby\Eng -\O Looks\Eng ok\Hin=अक to\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O yggiW2UmHI\Hin=आइYग्गीव्2उम्ही "\O 
735\O ,"#\O Race3Trailer\Eng 
How\Eng is\Eng trailer\Eng ?"\O 
736\O ,"\O I\Eng personally\Eng didnt\Eng like\Eng the\Eng ..\O 
You\Hin=यूं guys\Eng ?\O 

#\O Race3Trailer\Eng "\O 
737\O ,\O Gained\Eng 12\O followers\Eng and\Eng lost\Eng 10\O (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
738\O ,"\O I\Eng want\Eng to\Eng say\Eng ,\O 

Nobody\Eng can\Hin=सकें BEAT\Hin=बीअट् NARENDRA\Hin=नरेंद्र MODI\Hin=मोदी ....\O 

period\Eng !!!!!\O 

#\O KarnatakaElection2018\Eng 
#\O KarnatakaVerdict\Eng "\O 
739\O ,\O RT\Eng @\O Shehzad\Hin=शहज़ाद _\O Ind\Hin=इन्द :\O Election\Eng after\Eng election\Eng Rahul\Eng Gandhi\Eng loses\Eng yet\Eng the\Eng dynasty\Eng props\Eng him\Eng up\Eng !\O Does\Eng he\Eng deserve\Eng to\Eng even\Eng lead\Eng INC\Eng merely\Eng for\Eng being\Eng …\O 
740\O ,"\O RT\Eng @\O MrsGandhi\Eng :\O India\Eng saffronised\Eng !!👍👍\O 
#\O KarnatakaVerdict\Eng https\Eng ://\O t\Eng .\O co\Eng /\O kdNa5k91OS\Eng "\O 
741\O ,\O RT\Eng @\O Shehzad\Hin=शहज़ाद _\O Ind\Hin=इन्द :\O After\Eng #\O KarnatakaVerdict\Eng those\Eng in\Eng lutyen's\Eng media\Eng that\Eng find\Eng moral\Eng victories\Eng in\Eng Rahul\Eng Gandhi's\Eng defeats\Eng ;\O that\Eng peddle\Eng fake\Eng new\Eng …\O 
742\O ,#\O Race3Trailer\Eng today\Eng at\Eng 3PM\Eng ..\O 
743\O ,"\O Rahul\Eng ji\Hin=जी ,\O ko\Hin=को shayad\Hin=शायद abhi\Hin=अभी pata\Hin=पटा lag\Hin=लाग gaya\Hin=गया hoga\Hin=होग ki\Hin=की sirf\Hin=सिर्फ़ chunav\Hin=चुनव ke\Hin=क time\Hin=टाइम mandir\Hin=मंदिर jane\Hin=जाने se\Hin=सी public\Eng vote\Eng nahi\Hin=नाही deti\Hin=देती hai\Hin=हैं ..\O 

Dil\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O rE77KXaGjn\Eng "\O 
744\O ,"\O This\Eng is\Eng strange\Eng ....\O why\Eng this\Eng guy\Eng kejriwal\Eng given\Eng CM\Eng post\Eng ?\O 
Inki\Hin=इनकी sach\Hin=सच me\Hin=मे koi\Hin=कोई aukaat\Hin=आऔकात nahi\Hin=नाही hai\Hin=हैं https\Eng ://\O t\Eng .\O co\Eng /\O 22YJMIIffX\Eng "\O 
745\O ,"\O Agar\Hin=अगर aaj\Hin=आअय् ke\Hin=क baad\Hin=बाद bhi\Hin=भही ,\O Sonia\Hin=सोनिया ji\Hin=जी Rahul\Hin=राहुल gandhi\Hin=गाँधी ke\Hin=क PM\Hin=प्म banane\Hin=बनाने ke\Hin=क sapne\Hin=सपने dekhegi\Hin=देखेगी ,\O unko\Hin=उनको abhi\Hin=अभी bhi\Hin=भही president\Eng bana\Eng ke\Hin=क rakhegi\Hin=रखेगी …\O https\Eng ://\O t\Eng .\O co\Eng /\O S9Yb1Tq7wq\Eng "\O 
746\O ,"\O Maan\Hin=मान gaye\Hin=गाये yaar\Hin=यार modiJi\Hin=मोडीजी ko\Hin=को ,\O 

Ye\Hin=ये banda\Hin=बंदा sabki\Hin=सबकी gaali\Hin=गाली khayega\Hin=खाएगा ,\O lekin\Hin=लेकिन khud\Hin=खहुद ka\Hin=का confidence\Hin=कान्फिडेस kabhi\Hin=कभी bhi\Hin=भही girne\Hin=गिरने nahi\Hin=नाही dega\Hin=देगा ...\O 
Salu\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O mehW8LaP2P\Eng "\O 
747\O ,"\O I\Eng want\Eng to\Eng SALUTE\Hin=सलुते @\O narendramodi\Hin=नरेंद्रमोदी 

Ji\Eng for\Eng his\Eng confidence\Eng .\O I\Eng have\Eng never\Eng seen\Eng such\Eng a\Eng leader\Eng in\Eng my\Eng life\Eng who\Eng can\Eng do\Eng anything\Eng .\O 
#\O KarnatakaVerdict\Eng "\O 
748\O ,\O Bwhahaha\Hin=ब्व्हहाह ...\O true\Hin=ट्रुए bhai\Hin=भाई jaan\Hin=जान https\Eng ://\O t\Eng .\O co\Eng /\O F710gHXBll\Eng 
749\O ,"\O Lots\Hin=लोट of\Eng love\Eng to\Eng my\Eng 8K\Eng followers\Eng ...\O 

Jyada\Hin=ज्यादा timepass\Hin=टाइमेपास mat\Hin=मत Karo\Hin=करो chutiyon\Hin=चुटियों ..\O 
Kuch\Hin=कुछ dhang\Hin=धांग ka\Hin=का kaam\Hin=काम karo\Hin=करो "\O 
750\O ,\O Badumbaaaaa\Eng .....😀😀😀\O https\Eng ://\O t\Eng .\O co\Hin=को /\O lidyCkSucm\Hin=लिदाइकसक्म 
751\O ,\O Tera\Hin=तेरा naam\Hin=नाअम् to\Hin=तू Bata\Hin=बता fake\Hin=फाके aadmi\Hin=आदमी https\Eng ://\O t\Eng .\O co\Eng /\O E7t90fGLcS\Eng 
752\O ,"\O My\Eng week\Eng on\Eng Twitter\Eng 🎉:\O 252\O Mentions\Eng ,\O 409\O Mention\Eng Reach\Eng ,\O 2\O .\O 44K\Eng Likes\Eng ,\O 275\O Retweets\Eng ,\O 228K\Eng Retweet\Eng Reach\Eng .\O See\Eng yours\Eng wit\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O uorSwhc9zy\Hin=ओर्श्व्ह्च्9न्जी "\O 
753\O ,"\O My\Eng week\Eng on\Eng Twitter\Eng 🎉:\O 252\O Mentions\Eng ,\O 409\O Mention\Eng Reach\Eng ,\O 2\O .\O 44K\Eng Likes\Eng ,\O 275\O Retweets\Eng ,\O 228K\Eng Retweet\Eng Reach\Eng .\O See\Eng yours\Eng wit\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O AzJHoG3xsV\Hin=आज़्झोग्3क्स्स्व "\O 
754\O ,\O Welcome\Hin=वेल्कमअ to\Eng my\Eng new\Eng 16\O followers\Eng and\Eng goodbye\Eng to\Eng 5\O unfollowers\Eng (\O FREE\Eng stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O bpLMmfMPZE\Hin=ब्प्म्म्फ्म्प्जे )\O 
755\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O करना\O धरना\O कुछ\O नहीं\O 
बस\O धरना\O करना\O हैं\O https\Eng ://\O t\Eng .\O co\Eng /\O rk4htnin6l\Eng "\O 
756\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O Elect\Eng a\Eng Joker\Eng 
Expect\Eng a\Eng Circus\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O WKyxzt2UwK\Hin=व्क्य्क्ज़्त्2उव्क "\O 
757,"अभी\O ये\O मुख्यमंत्री\O है\O या\O ट्वीट\O मंत्री?\O बताओ...\O 
@\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द 

https\Eng ://\O t\Eng .\O co\Eng /\O KVgD7QQJMc\Eng "\O 
758\O ,"\O If\Eng honorable\Eng kejriwal\Hin=केजरिवल ji\Hin=जी reading\Eng this\Eng ,\O 
सरकार\O काम\O से\O चलती\O है\O ट्वीट\O से\O नहीं\O https\Eng ://\O t\Eng .\O co\Eng /\O k25tKPDuEr\Eng "\O 
759\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Eng :\O CCTV\Eng -\O क्यों\O गालियाँ\O बक\O रहे\O हैं\O Kejriwal\Hin=केजरिवल 

1.\O कैबिनेट\O से\O पास\O हुआ\O 131करोड़\O 

2.\O पर\O टेंडर\O किया\O 571\O करोड़\O का\O 

3.\O LG\Eng ने\O कमे…"\O 
760,"ब्रेकप\O तक\O ठीक\O था\O पगली,\O बस\O धक्का\O मारके\O तुने\O गलती\O कर\O दी...\O 😜😜😀😀😀😀\O https\Eng ://\O t\Eng .\O co\Eng /\O ICj5xRrrA7\Eng "\O 
761,"मस्त\O मोदीजी,\O 
गरीबो\O की\O सरकार\O है\O बोलकर\O लोगों\O को\O चुतिया\O बनाओ\O आप\O बस,\O 
कर्नाटक\O के\O चुनाव\O खत्म\O होते\O ही\O पेट्रोल\O बढ़ा\O दिया,…\O https\Eng ://\O t\Eng .\O co\Eng /\O 5VQA5AMPv2\Eng "\O 
762\O ,\O Sir\Eng start\Eng with\Eng yourself\Eng first\Eng then\Eng baanto\Hin=बाँटो Gyaan\Hin=ग्याँ 🙏🙏🙏\O https\Eng ://\O t\Eng .\O co\Hin=को /\O MY4AqiFzXK\Hin=म्य्4अक़िफ्ज़्क्स्क 
763\O ,"\O Our\Eng biggest\Eng fans\Eng this\Eng week\Eng :\O @\O TheOmkarSethi\Eng ,\O @\O BeingWazir\Eng ,\O @\O nasirzeck14\Eng .\O Thank\Eng you\Eng !\O via\Eng https\Eng ://\O t\Eng .\O co\Eng /\O YW3ZTgIYAP\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2wfvjlHEwH\Hin=2व्फ्व्ज्ल्ह्व् "\O 
764\O ,"\O I\Eng am\Eng going\Eng off\Eng Twitter\Eng right\Eng now\Eng ...\O 

Good\Hin=गूद bye\Eng tweetos\Eng 🙏🙏🙏🙏🙏\O https\Eng ://\O t\Eng .\O co\Hin=को /\O EPlDfLoBi5\Hin=एप्ल्द्फ्लोबि5 "\O 
765,"10\O Followed\Eng ,\O 12\O Unfollowed\Eng me\Eng (\O monitored\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )"\O 
766\O ,\O Bwahahhaaha\Hin=ब्वाहहाहा ..\O jio\Hin=जियो @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द ji\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O hteFqWHbLZ\Hin=ह्ठेफ्क़्व्ह्ब्ल्ज 
767\O ,"\O Kejriwal\Hin=केजरिवल ji\Hin=जी ke\Hin=क bad\Hin=बद ab\Hin=अब Sachin\Hin=सचीन ji\Hin=जी ka\Hin=का review\Eng Dekh\Hin=देख lo\Hin=ल 😀😀😀\O 

#\O 102NotOut\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O sXa4KuOsyA\Hin=स्क्स4कुओस्या "\O 
768\O ,"#\O MothersDay\Hin=मदर्सदाय 
Happy\Eng mother's\Eng day\Eng to\Eng all\Eng the\Eng beautiful\Eng mom's\Eng all\Eng over\Eng the\Eng world\Eng .\O 

Without\Eng you\Eng ,\O the\Eng world\Eng is\Eng hell\Eng ..\O 

Thanks\Eng for\Eng everything\Eng ."\O 
769\O ,"#\O DDvRCB\Eng 
AB\Hin=अब +\O take\Hin=टके a\Eng bow\Eng "\O 
770\O ,"#\O ExitPoll\Eng 
Mark\Eng my\Eng words\Eng ,\O 
Congress\Eng is\Hin=इस GONE\Hin=गोन in\Hin=इन Karnataka\Eng "\O 
771\O ,\O 8000nd\Eng follower\Eng ko\Hin=को milega\Hin=मिलेगा mast\Hin=मस्त inaam\Hin=इनाअम् 😀😀😀\O 
772\O ,\O Latest\Eng Stats\Eng =\O 14\O Followers\Eng and\Eng 2\O Unfollowers\Eng (\O tracked\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
773\O ,\O Lol\Hin=लोल lol\Hin=लोल lol\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O I5LFIQmmNk\Hin=इ5ल्फ़िक़्म्म्Mक 
774\O ,"\O Film\Eng #\O Raazi\Eng did\Eng extremely\Eng well\Eng on\Eng opening\Eng day\Eng ..\O 

Collected\Eng approx\Eng 9\O cr\Eng nett\Eng ...."\O 
775\O ,\O This\Eng could\Eng definitely\Eng a\Eng landmark\Eng film\Eng for\Eng @\O shahidkapoor\Hin=शहीड़कपूर and\Eng surely\Eng it's\Eng a\Eng great\Eng choice\Eng having\Eng Shahid\Eng on\Eng board\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O LOeX9YsQME\Hin=लोएक्स्9इस्क़्मे 
776\O ,"\O Is\Hin=इस this\Eng my\Hin=मी Hindustan\Hin=हिन्दुस्तान ?\O 

Fight\Eng between\Eng two\Eng groups\Eng over\Eng water\Eng in\Eng Maharashtra's\Eng #\O Aurangabaad\Hin=अरंगाबाद "\O 
777\O ,"\O Now\Eng days\Eng stock\Eng markets\Eng are\Eng responding\Eng to\Eng BJP\Eng only\Eng ..\O 

Mark\Eng my\Eng words\Eng ,\O 
If\Eng @\O BJP4India\Eng wins\Eng #\O KarnatakaElections2018\Eng then\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ghD4rHcqKB\Hin=घ्ह्द्4रह्च्क़्क्ब "\O 
778\O ,"\O Bwahahhaaha\Hin=ब्वाहहाहा .....\O 
Can't\Hin=कैं'ट stop\Eng laughing\Eng ...\O Some\Eng people\Eng are\Eng just\Eng insane\Eng 😀😀😀\O 

PS\Eng -\O Its\Hin=इट a\Eng forward\Eng from\Eng Facebook\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O aOPN0DjXeX\Eng "\O 
779\O ,"\O Good\Eng night\Eng laundo\Eng ...\O 

Happy\Eng Friday\Eng ....\O Jyada\Hin=ज्यादा mat\Hin=मत pio\Hin=पियो bc\Hin=ब्ख ..."\O 
780\O ,\O Gained\Eng 21\O followers\Eng and\Eng lost\Eng 7\O (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
781\O ,"\O RIP\Hin=रिप Himanshu\Hin=हिमांशु Roy\Hin=राय ..\O 

What's\Eng happening\Eng in\Eng our\Eng country\Eng ..\O sad\Eng 😫😫😫\O https\Eng ://\O t\Eng .\O co\Eng /\O 2jl7IFtRD4\Eng "\O 
782,"यार\O केजरीवाल\O जी,\O 
आपके\O साड़ु\O के\O काम\O बड़े\O आराम\O से\O हो\O रहे\O है\O ऐसा\O सुनने\O में\O आया\O है,\O 
लेकिन\O जनता\O के\O काम\O BJP\Eng अड़ा\O रही\O है..…\O https\Eng ://\O t\Eng .\O co\Eng /\O YCqHGN59um\Eng "\O 
783\O ,@\O ArvindKejriwal\Hin=अरविंड़केजरिवल Sir\Eng blame\Eng game\Eng ki\Hin=की konsi\Hin=कोन्सी goli\Hin=गोली khate\Hin=खाते ho\Hin=ह AAP\Hin=आअप् ?\O 😜😜\O 
784\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O गधों\O को\O ऊँटो\O का\O रूप\O बहुत\O भाया\O हैं\O 
ऊँटो\O ने\O गधो\O को\O अद्भुत\O गायक\O बताया\O हैं\O 

इक\O ख़बर\O से\O खुशी\O मची\O हैं\O चमचों\O के\O बीच\O 
केजरीवाल…"\O 
785\O ,"#\O Raazi\Hin=राज़ी is\Hin=इस an\Hin=आन EXCELLENT\Hin=एक्स्सैइंत movie\Hin=मूवी .\O 

Alia\Eng is\Eng superstar\Eng in\Eng such\Eng a\Eng small\Eng age\Eng .\O 
She\Eng is\Eng incredible\Eng ..\O 🙏🙏\O 

Salute\Eng .."\O 
786\O ,"\O Modiji\Eng and\Eng Amit\Hin=अमिट shah\Hin=शाह ji\Hin=जी ,\O 
If\Eng you\Eng still\Eng won't\Eng suspend\Eng this\Eng rapist\Eng MLA\Eng #\O KuldeepSinghSengar\Hin=कुल्डीप्सिंअसेंगर 
Then\Hin=ठें SHAME\Hin=शामे ON\Hin=ओं YOU\Hin=यूं sir\Hin=सिअर ..…\O https\Eng ://\O t\Eng .\O co\Eng /\O SHvqiBMtnQ\Hin=श्व्क़िब्म्ट्न्क़ "\O 
787\O ,"\O RT\Hin=अर्त @\O jairamthakurbjp\Hin=जऐरामथकुर्ब्ज्प :\O Today\Hin=तूडेय is\Eng the\Eng 20th\Eng anniversary\Eng of\Eng #\O Pokhran2\Eng .\O India\Eng conducted\Eng multiple\Eng nuclear\Eng tests\Eng at\Eng Pokhran\Eng on\Eng May\Eng 11-13,\O 1998.\O Let\Hin=लेत ’…"\O 
788\O ,"#\O Pokhran2\Eng 
Today\Eng was\Eng one\Eng of\Eng the\Eng great\Eng day\Eng in\Eng Indian\Eng history\Eng when\Eng former\Eng Prime\Eng minister\Eng Shri\Eng Atal\Hin=अटल ji\Eng has\Eng successfully\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O cbiQUx4Rhf\Eng "\O 
789\O ,"#\O Cannes2018\Eng 

I\Eng always\Eng wonder\Eng what\Eng actors\Eng do\Eng at\Eng cannes\Eng every\Eng year\Eng ?\O 
I\Eng believe\Eng they\Eng just\Eng go\Eng to\Eng show\Eng the\Eng extremely\Eng funn\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 7Zp7KkLWS4\Eng "\O 
790\O ,"\O Ishan\Hin=इशान Kishan\Hin=किशान yesterday\Eng ,\O and\Eng Rishab\Hin=रिशब Pant\Hin=पंत today\Eng .\O India\Eng perhaps\Eng lost\Eng or\Eng ignored\Eng good\Eng choices\Eng for\Eng T20\Eng wicketkeeper-batsmen\Eng ."\O 
791\O ,"\O Ye\Hin=ये kya\Hin=क्या hai\Hin=हैं bencho\Hin=बेंचो ???\O 

Subah\Hin=सुबह subah\Hin=सुबह aisi\Hin=इसी news\Hin=न्यू Dete\Hin=देतें ho\Hin=ह Twitter\Hin=टविअर walo\Hin=वालों ....\O 🤔🤔\O https\Eng ://\O t\Eng .\O co\Hin=को /\O pnKteFwAcP\Hin=न्कतेफ्वाच्प "\O 
792\O ,"\O Good\Eng night\Hin=नाइट chutiyon\Hin=चुटियों ki\Hin=की fauz\Hin=फुज़ ....\O 

I\Hin=इ know\Hin=क्नो u\Hin=उ won't\Eng listen\Eng and\Eng keep\Eng on\Eng abusing\Eng ...\O 

Kuch\Hin=कुछ dhang\Hin=धांग ka\Hin=का kaam\Hin=काम hi\Hin=ही Kar\Hin=कार looo\Hin=लुऊ ....\O 

🙏🙏"\O 
793\O ,"\O I\Eng take\Eng my\Eng words\Eng back\Eng ....\O 
#\O SRHvsDD\Eng https\Eng ://\O t\Eng .\O co\Eng /\O yi56Ifd9s2\Eng "\O 
794\O ,#\O RishabhPant\Eng looking\Eng either\Eng selfish\Eng or\Eng mad\Eng 
795\O ,\O Last\Eng 24\O Hours\Eng =\O 16\O Followers\Eng and\Eng 9\O Unfollowers\Eng (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र app\Eng )\O 
796\O ,\O Chup\Hin=छुप be\Hin=बे lukhhe\Hin=लुख्हे https\Eng ://\O t\Eng .\O co\Hin=को /\O zQBKUTWBNy\Eng 
