,0\O 
384\O ,"\O I\Eng find\Eng I\Hin=इ don\Hin=दान ’\O t\Hin=त share\Eng enough\Eng of\Eng the\Eng fun\Eng on\Eng Twitter\Eng .\O Its\Eng mostly\Eng on\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O qKV328JQeS\Eng here\Eng ’\O s\Eng some\Eng on-stage\Eng ‘\O God\Eng ,\O w\Hin=व् …\O https\Eng ://\O t\Eng .\O co\Eng /\O 3BTl5jO8MP\Eng "\O 
385\O ,\O Thanks\Eng Aniket\Eng :)\EMT and\Eng that\Eng patient\Eng lady\Eng who\Eng interviewed\Eng me\Eng From\Eng @\O scroll\Eng _\O in\Eng 😄\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O 8fOvVFhHA4\Hin=8फोव्व्फ4 
386\O ,\O Thankyou\Eng Faye\Hin=फ़ाये .\O So\Eng 😇🙏🏽\O kind\Eng of\Eng you\Eng .\O Lots\Hin=लोट of\Eng Love\Eng .\O ❤️❤️❤️\O https\Eng ://\O t\Eng .\O co\Eng /\O SE9yRVD9dy\Eng 
387\O ,"\O Thankyou\Eng @\O scroll\Eng _\O in\Eng !!\O What\Eng a\Eng well-balanced\Eng ,\O all-viewpoints-in\Eng article\Eng this\Eng is\Eng .\O It\Eng runs\Eng in\Eng my\Eng favour\Eng eventually\Eng wit\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O nqJDkeWGrz\Hin=न्क़्ज्ड़केव्ग्र्ज़ "\O 
388\O ,\O OMG\Eng !\O When\Eng did\Eng this\Eng come\Eng out\Eng ?!\O Thanks\Hin=थान्क Adaa\Hin=अदा !\O Yayy\Hin=य्यी .\O I\Hin=इ ’\O ll\Eng read\Eng now\Eng .\O Thanks\Eng @\O scroll\Eng _\O in\Eng 😘\EMT https\Eng ://\O t\Eng .\O co\Eng /\O byPXf2cTrz\Eng 
389\O ,"\O Thanks\Eng for\Eng the\Eng faith\Eng ,\O Harsh\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O TllVdQyJfz\Hin=त्ल्ल्व्द्क़्य्ज्फ्ज़ "\O 
390\O ,\O We\Hin=वी are\Eng infectious\Eng no\Eng ?:)\O https\Eng ://\O t\Eng .\O co\Hin=को /\O gXxw0aGnvu\Hin=ग्क्स्क्स्व्0अग्zवू 
391\O ,"\O RT\Eng @\O meetbros\Eng :\O There\Eng is\Eng only\Eng laughter\Eng ,\O fun\Eng &\O amp\Eng ;\O drama\Eng when\Eng we\Eng meet\Eng the\Eng cast\Eng of\Eng '\O Entertainment\Eng Ki\Hin=की Raat\Hin=राअत् '.\O Tune\Hin=धुने in\Hin=इन on\Eng Saturday\Eng and\Eng Sunday\Eng at\Eng 10\O PM\Eng …"\O 
392\O ,"\O Does\Eng it\Eng still\Eng amaze\Eng us\Eng that\Eng every\Eng girl\Hin=गर्ल you\Hin=यूं tap\Eng walk\Eng by\Eng ,\O never\Eng meet\Eng ,\O love\Eng ,\O don\Hin=दान ’\O t\Hin=त love\Eng ,\O know\Eng or\Eng don\Eng ’\O t\Hin=त know\Eng could\Eng have\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O e3arJRwWgm\Hin=ए3यर्ज्रव्व्ग्म "\O 
393\O ,\O Thanks\Eng Ranj\Eng .\O It\Eng was\Eng a\Eng good\Eng chat\Eng no\Hin=नो ?:)\O I\Eng hope\Eng you\Eng got\Eng the\Hin=ते gajra\Hin=गजरा I\Hin=इ sent\Eng you\Eng with\Hin=विद @\O HarpreetUK\Hin=हरप्रीतुक ?\O She\Eng finished\Eng the\Eng bada\Hin=बड़ा …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O hyaXteYqfL\Hin=ह्यैक्सटेय्क़्फ्ल 
394\O ,\O Of\Eng course\Hin=कोर्स !\O Hahaha\Hin=हहाह bring\Eng her\Eng back\Eng sometime\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O ZmfvXnzPmg\Eng 
395\O ,\O RT\Eng @\O RedFMIndia\Eng :\O CRINGE\Eng ALERT\Eng !\O Watch\Eng @\O MissMalini\Eng tell\Eng @\O mymalishka\Hin=मीनलिश्का about\Eng how\Eng she\Eng messed\Eng up\Eng her\Eng very\Eng first\Eng interview\Eng -\O with\Eng @\O juniorbachchan\Eng !\O #…\O 
396\O ,\O Update\Eng from\Eng service\Eng provider\Eng :\O 4G\Eng by\Eng 12\O Tonight\Eng upgrades\Eng to\Eng 4G\Eng volte\Eng they\Eng say\Eng .\O So\Eng till\Eng then\Eng enjoy\Eng 3G\Eng .\O When\Eng did\Eng I\Eng get\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O DvaWwfiyDn\Hin=द्वाव्व्फिय्ड्M 
397\O ,"\O Girls\Eng ,\O Gajras\Hin=गज्रास and\Hin=एंड vada\Eng paos\Eng ...\O welcome\Eng to\Hin=तू Mumbai\Eng and\Eng @\O RedFM\Eng _\O Mumbai\Eng @\O bbcasiannetwork\Eng .\O Was\Hin=वस lovely\Hin=लवय to\Eng have\Eng you\Eng here\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O m1KZItZ6Xo\Eng "\O 
398\O ,\O Reading\Eng my\Eng own\Eng palm\Eng and\Eng coming\Eng to\Eng the\Eng conclusion\Eng that\Eng you\Eng will\Eng be\Eng in\Eng the\Eng studio\Eng with\Eng me\Eng tomorrow\Hin=तोमोर्रो @\O HarpreetUK\Hin=हरप्रीतुक 😈\EMT We\Hin=वी n\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O har5JTk7xf\Eng 
399\O ,\O Let\Hin=लेत ’\O s\Hin=स do\Hin=दो this\Eng BBC\Eng Radio\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O EWrQqxhu0m\Eng 
400\O ,\O Ab\Hin=अब pata\Hin=पटा chala\Hin=चला toh\Hin=तोह Marrrkett\Hin=मार्र्र्केट्ट mein\Hin=मेइं phaila\Hin=फाऐला do\Hin=दो ;)\EMT Thanks\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O kOdtfXXfhY\Hin=कोड्त्फ्क्स्क्स्फी 
401\O ,\O RT\Eng @\O MissMalini\Hin=मिस्स्मालिनी :\O Yaaay\Hin=याअय on\Hin=ओं air\Eng now\Eng with\Eng @\O mymalishka\Hin=मीनलिश्का @\O redfmindia\Hin=रैद्फ्मिंडिया #\O MMtothemoon\Eng https\Eng ://\O t\Eng .\O co\Eng /\O BHN8NYisOA\Eng 
402\O ,\O I\Eng think\Eng my\Eng fave\Hin=फव with\Eng your\Eng accent\Eng was\Eng ‘\O har\Hin=हार jagah\Hin=जगह kabootarrr\Hin=काबूटर्र khoon\Hin=खोँ ’\O 😂😂😂\O I\Hin=इ must\Eng confess\Eng I\Eng laughed\Eng in\Eng secret\Eng also\Eng whil\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O hEJn9dJvXZ\Eng 
403\O ,\O Thankyou\Eng .\O You\Hin=यूं guys\Eng are\Eng so\Eng encouraging\Eng I\Eng couldn\Eng ’\O t\Eng be\Eng less\Eng 😈\EMT @\O RedFM\Eng _\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O KvhuznUefU\Hin=क्व्हज्नुइअफू 
404\O ,\O Can\Hin=सकें I\Eng make\Eng the\Eng fraandship\Eng is\Eng not\Eng bad\Hin=बद at\Eng all\Eng ;)\EMT Tune\Hin=धुने in\Hin=इन to\Eng find\Eng out\Eng yeah\Eng seriously\Eng :)\EMT @\O MissMalini\Eng @\O RedFM\Eng _\O Mumbai\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O p8LuI7IXka\Eng 
405\O ,\O This\Eng hour\Eng and\Eng the\Eng next\Eng @\O MissMalini\Eng chatting\Eng about\Eng her\Eng new\Eng book\Eng and\Eng what\Eng made\Eng her\Eng ...\O basically\Eng #\O Mumbai\Eng did\Eng !…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O NdaWAsMtLI\Hin=Mदवस्म्तली 
406\O ,\O Arre\Hin=अर्रे if\Hin=इफ़ you\Eng find\Eng the\Eng right\Eng App\Hin=आप I\Eng believe\Eng you\Eng will\Eng find\Eng us\Eng in\Eng Sydney\Eng too\Eng ;).\O Eat\Eng of\Eng luck\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O PwWqCnv5Mf\Eng 
407\O ,\O Hahaha\Hin=हहाह fikarr\Hin=फ़िकर not\Hin=नोट .\O Teri\Hin=तेरी subah\Hin=सुबह chakachakk\Hin=चकाचक्क banane\Hin=बनाने mein\Hin=मेइं koi\Hin=कोई kasar\Hin=कसर nahi\Hin=नाही hogi\Hin=होगी .\O Tu\Hin=तू tune\Hin=धुने in\Hin=इन toh\Hin=तोह kar\Hin=कार .\O We\Hin=वी ’\O re\Eng on\Eng fire\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O h0GcFCDK5p\Eng 
408\O ,#\O NewProfilePic\Eng https\Eng ://\O t\Eng .\O co\Eng /\O xNN71d69zt\Eng 
409\O ,"\O RT\Eng @\O shreyastalpade1\Eng :\O Thank\Eng you\Hin=यूं @\O mymalishka\Hin=मीनलिश्का ,\O Balraj\Eng @\O tweetfromRaghu\Eng &\O amp\Eng ;\O the\Eng entire\Eng team\Eng for\Eng some\Eng wholesome\Eng n\Eng clean\Eng Entertainment\Eng last\Eng night\Eng .\O B\Hin=ब …"\O 
410\O ,"\O You\Eng were\Eng such\Eng a\Eng fab\Eng sport\Eng !\O 
Tushar\Eng Kunal\Eng n\Eng you\Eng were\Eng the\Eng bestest\Eng people\Eng to\Eng start\Eng our\Eng #\O TruthorDare\Eng series\Eng with\Eng !!\O I\Eng can\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O esi1FDDemO\Hin=एसि1फ्डमों "\O 
411\O ,\O I\Hin=इ know\Eng her\Eng for\Eng so\Eng long\Eng I\Eng had\Eng to\Eng capture\Eng this\Eng journey\Eng for\Eng the\Eng show\Eng (\O tune\Eng in\Eng Friday\Eng )!\O So\Eng here\Eng ’\O s\Eng wishing\Eng you\Eng a\Eng super\Eng ri\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O yuvNgeW4jL\Hin=युव्Mगेव्4ज्ल 
412\O ,\O Doing\Eng a\Eng shoutout\Eng to\Eng you\Hin=यूं NOW\Hin=नो On\Eng @\O RedFM\Eng _\O Mumbai\Eng :)\EMT Listen\Hin=लिसन In\Eng .\O @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O JFfjBWGFfr\Hin=ज्फ्फ्ज्ब्व्ग्फ्र 
413\O ,\O All\Eng set\Eng for\Eng you\Hin=यूं Honehhh\Hin=होनेह ❤️💥💥💥\O @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O mawVoUSErY\Hin=मव्वुसरी 
414\O ,"\O Right\Hin=राइघ्ट now\Eng ,\O Rajesh\Eng Shinde\Hin=शिंदे our\Hin=आअर Fire\Eng Safety\Eng Officer\Eng on\Eng the\Eng show\Eng NOW\Hin=नो !\O This\Hin=तीस city\Eng has\Eng seen\Eng 6\O fires\Eng since\Eng Kamla\Hin=कमला Mills\Eng !\O We\Eng n\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O R4rOXKTGlv\Eng "\O 
415\O ,\O RT\Eng @\O ColorsTV\Eng :\O Watch\Eng @\O mallikasherawat\Hin=मल्लिकशेरावत and\Eng @\O SohailKhan\Eng enjoy\Eng their\Eng weekend\Eng with\Eng our\Eng #\O EntertainmentKeGuru\Hin=एंटेअरट्नमेंठकेगुरु on\Hin=ओं #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् tonight\Hin=टौनिट at\Eng 1…\O 
416\O ,\O Check\Hin=चेक this\Eng out\Eng !\O So\Eng proud\Eng @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 1OAcIIIATC\Eng 
417\O ,\O Right\Hin=राइघ्ट now\Eng on\Eng @\O ColorsTV\Eng 😄\EMT @\O mallikasherawat\Eng this\Eng was\Eng so\Eng Mazza\Eng :)\EMT #\O thingstheydo\Hin=थिंग्स्थेय्दों On\Hin=ओं #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् !\O ❤️🤪😄\O https\Eng ://\O t\Eng .\O co\Eng /\O JI6yqQCLeu\Eng 
418\O ,\O Well\Eng delivered\Eng punch\Eng .\O Timing\Hin=टिमिंग hai\Hin=हैं boss\Hin=बोस 😄\EMT Inko\Hin=इनको Obama\Hin=आबमा ko\Hin=को tan\Hin=तन karna\Hin=करना hai\Hin=हैं ’\O :\O Sohail\Hin=सोहैल Khan\Eng .\O Check\Eng what\Eng happened\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O y0Tw9di1Ob\Eng 
419\O ,\O Tonight\Eng we\Eng chat\Eng up\Eng @\O mallikasherawat\Hin=मल्लिकशेरावत and\Eng @\O SohailKhan\Eng .\O Yayy\Hin=य्यी .\O Such\Eng fun\Eng this\Eng was\Eng and\Eng so\Eng insightful\Eng too\Eng .…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O SdEFwEP9kS\Hin=स्दिफ्वेप्9क् 
420\O ,\O The\Hin=ते mantra\Hin=मंत्र is\Eng as\Eng it\Eng has\Eng always\Eng been\Eng :\O Ask\Eng and\Eng You\Hin=यूं SHALL\Hin=शाल receive\Eng :)\EMT Here\Eng ’\O s\Eng looking\Eng at\Eng you\Eng 2018.\O We\Hin=वी ’\O re\Hin=री gonna\Hin=गोन्ना knock\Eng you\Hin=यूं outta\Eng the\Eng park\Eng 😎\EMT 
421\O ,\O Lots\Hin=लोट of\Eng ‘\O illegal\Eng structures\Eng ’\O being\Eng razed\Eng to\Eng the\Eng ground\Eng in\Eng Bandra\Hin=बंद्र .\O Some\Eng even\Eng had\Eng signs\Eng saying\Eng this\Eng place\Eng is\Eng Fire\Eng Com\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O vKqIGK1kI1\Eng 
422\O ,\O So\Hin=सो I\Eng turned\Eng around\Eng from\Eng Worli\Hin=वर्ली Naka\Hin=नका coz\Hin=कोज़ there\Hin=थहरे ’\O s\Eng a\Eng protest\Eng there\Eng .\O Cops\Eng manning\Eng and\Eng not\Eng letting\Eng us\Eng through\Eng some\Eng spaces\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 8eXOhOg52k\Eng 
423\O ,"\O Anything\Eng you\Eng want\Eng the\Eng city\Eng to\Eng know\Eng about\Eng the\Eng city\Eng ,\O you\Eng tell\Hin=टेल me\Hin=मे here\Hin=हेरे .\O You\Eng can\Eng also\Eng call\Eng me\Hin=मे on\Eng 66935935.\O It\Hin=इट ’\O s\Hin=स only\Eng th\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O BH0Ip2rAVo\Hin=भ्0ईप्2रावो "\O 
424\O ,"\O It\Eng is\Eng going\Eng to\Eng be\Eng a\Eng strong\Eng ,\O beautiful\Eng ,\O bold\Eng ,\O life-changing\Eng ,\O gorgeous\Eng year\Eng .\O Believe\Eng it\Eng .\O Also\Eng look\Eng at\Eng the\Eng moon\Eng !\O 💥…\O https\Eng ://\O t\Eng .\O co\Eng /\O lf0YSrls02\Eng "\O 
425\O ,\O May\Eng the\Eng fabulous\Eng light\Eng of\Eng a\Eng brilliant\Eng sun\Eng of\Eng the\Eng 1st\Eng day\Eng of\Eng the\Eng Year\Eng stay\Eng shining\Eng on\Eng my\Eng Country\Eng all\Eng year\Eng .\O Happy\Hin=हैप्पी New\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O KRaGbOybXD\Hin=क्रग्बोईब्क्स्द 
426\O ,"\O For\Eng the\Eng joy\Eng and\Eng heartbreak\Eng ,\O delight\Eng and\Eng strife\Eng ...\O for\Eng all\Eng that\Eng it\Eng taught\Eng us\Eng as\Eng we\Eng go\Eng into\Eng the\Eng night\Eng to\Eng awake\Eng to\Eng a\Hin=आ b\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O DZK7RgiCrg\Eng "\O 
427\O ,\O I\Eng hope\Eng you\Eng are\Eng watching\Hin=वाऔचिंग #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् ...\O our\Eng villain\Eng special\Eng with\Eng Ranjeetji\Eng and\Eng Shakti\Eng Kapoor\Eng is\Eng epic\Eng and\Eng sp\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O fBuLA8rzZo\Hin=फ्बुल8र्ज्ज़ों 
428\O ,\O This\Eng villain\Eng special\Eng was\Eng LIT\Hin=लित !\O Watch\Hin=वाच it\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O Uv176Qb5P0\Eng 
429\O ,\O RT\Eng @\O worldforall\Eng :\O Look\Eng at\Eng these\Eng cute\Eng puppers\Hin=प्यूपर्स !\O Anjeer\Hin=अंजीर and\Hin=एंड Khajoor\Hin=खाजूर are\Eng looking\Eng for\Eng hoomans\Eng to\Eng love\Hin=लव forever\Hin=फॉरेवर .\O Can\Hin=सकें you\Hin=यूं be\Eng the\Eng one\Eng ?\O Call\Eng us\Eng on\Eng 976…\O 
430\O ,\O Every\Eng New\Hin=न्य्व year\Eng ever\Eng !\O RT\Eng if\Eng this\Eng is\Eng YOU\Hin=यूं 😂😂😂\O even\Hin=ईवेन in\Eng the\Eng slightest\Eng .\O May\Eng all\Eng our\Eng plans\Eng work\Eng out\Eng in\Eng 2018:)\O #\O happynewyear\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O AbI1wfxbHl\Hin=अभि1व्फ्क्स्भ्ल 
431\O ,\O How\Eng many\Eng swanky\Eng yet\Eng dangerous\Eng places\Eng have\Eng been\Eng given\Eng permissions\Eng and\Eng licenses\Eng without\Eng checks\Eng for\Eng safety\Eng that\Eng are\Eng de\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Zp3dTmL8ef\Eng 
432\O ,"\O RT\Eng @\O ColorsTV\Eng :\O Ring\Eng in\Eng the\Eng new\Eng year\Eng with\Eng a\Eng bang\Hin=बंग !\O Watch\Eng #\O BiggBoss11\Eng and\Eng #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् with\Eng your\Eng favourite\Eng celebrities\Eng this\Eng weekend\Eng ,\O 9-…"\O 
433\O ,"\O RT\Eng @\O RedFMIndia\Eng :\O .@\O BarunSobtiSays\Eng ki\Hin=की @\O mymalishka\Hin=मीनलिश्का ko\Hin=को matt\Hin=मत sunn\Hin=सुन्न ,\O but\Eng why\Eng ?\O Check\Eng out\Eng the\Eng video\Eng to\Eng find\Eng out\Eng !\O #\O MalishkaKoMattSunn\Hin=म्लिश्काकोमेट्सुन्न https\Eng ://\O t\Eng .\O co\Hin=को /\O Co\Hin=को …"\O 
434\O ,"\O Dear\Hin=डियर Karishma\Hin=करिश्मा ,\O this\Eng is\Eng the\Eng best\Eng compliment\Eng I\Eng have\Eng received\Eng in\Eng all\Eng the\Eng years\Eng I\Eng have\Eng been\Eng on\Eng the\Eng radio\Eng !!\O That\Eng it\Eng came\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O enQyq8SqWL\Eng "\O 
435\O ,\O In\Eng 10\O minutes\Eng watch\Eng us\Eng chat\Hin=चत up\Eng @\O BeingSalmanKhan\Eng and\Eng also\Eng watch\Eng him\Eng in\Eng a\Eng while\Eng new\Eng light\Eng :)\EMT Don\Eng ’\O t\Hin=त stop\Eng watching\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O HHEaY0qCgf\Hin=हीय्0क़्च्ग्फ़ 
436\O ,\O Who\Eng will\Eng win\Eng @\O BiggBoss\Eng #\O BiggBoss11\Eng Who\Eng tells\Eng us\Hin=उस ?\O #\O ArshiKhan\Hin=आरशिखान .\O Do\Hin=दो you\Eng agree\Eng with\Eng her\Eng though\Eng ?\O https\Eng ://\O t\Eng .\O co\Hin=को /\O jvIzGrHsco\Hin=ज्वाइज्ग्ऱ्स्को 
437\O ,\O Logon\Hin=लोगों me\Eng BMC\Eng aur\Hin=अर् meri\Hin=मेरी Jodi\Hin=जोदि ke\Hin=क baare\Hin=बारे mein\Hin=मेइं bhi\Hin=भही kuch\Hin=कुछ aisa\Hin=आशा hi\Hin=ही kaha\Hin=कहा hai\Hin=हैं 😜\EMT https\Eng ://\O t\Eng .\O co\Eng /\O 8T5g6erK8D\Eng 
438\O ,\O Shooting\Eng with\Eng @\O BeingSalmanKhan\Eng at\Eng the\Eng #\O Biggboss\Eng @\O BiggBoss\Eng house\Eng just\Eng now\Eng for\Eng #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् .\O Episode\Eng out\Eng tom\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ND7026hV3A\Eng 
439\O ,\O PRESSSS-sure\Eng :)\EMT where\Eng are\Eng you\Eng from\Eng ?\O https\Eng ://\O t\Eng .\O co\Eng /\O Xb7z8GMIZy\Eng 
440\O ,‘\O Caring\Eng my\Eng language\Eng ’\O 😳\EMT has\Eng nothing\Eng to\Eng do\Eng with\Eng calling\Eng people\Eng by\Eng the\Eng name\Eng that\Eng their\Eng parents\Eng gave\Eng them\Eng .\O You\Eng can\Eng call\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O vDk4ISMfxX\Eng 
441\O ,\O Tonight\Eng on\Hin=ओं #\O EKR\Hin=एक्र .\O Don\Hin=दान ’\O t\Eng miss\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O dD9xS67PI9\Eng 
442\O ,\O RT\Eng @\O ColorsTV\Eng :\O Watch\Eng #\O Tabu\Eng and\Eng @\O iam\Hin=इयाम _\O juhi\Hin=जूही share\Hin=शारे their\Eng entertaining\Eng fan\Eng stories\Eng on\Eng #\O EntertainmentKiRaat\Hin=एंटेअरट्नमेंठकिराअत् tonight\Hin=टौनिट at\Eng 10\O PM\Eng .\O @\O mymalishka\Hin=मीनलिश्का @\O tweetfr\Eng …\O 
443\O ,\O Dekha\Hin=देखा kya\Hin=क्या ?\O Naya\Hin=नया gaana\Hin=गाना aa\Hin=आआ gaya\Hin=गया hai\Hin=हैं dost\Hin=दोस्त log\Hin=लाग .\O #\O MalishkaKoMattSunn\Hin=म्लिश्काकोमेट्सुन्न https\Eng ://\O t\Eng .\O co\Hin=को /\O BEsbj2sH2V\Hin=ब्स्ब्ज्2श्2व 
444\O ,\O It\Hin=इट ’\O s\Eng tonight\Eng babee\Hin=बबी .\O Tomorrow\Eng it\Eng ’\O s\Eng @\O BeingSalmanKhan\Eng .\O I\Hin=इ ’\O m\Eng in\Hin=इन Lonavala\Eng on\Eng the\Eng sets\Eng tight\Eng now\Eng in\Eng fact\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O al7xAa8Gi5\Hin=अल्7क्स8गि5 
445\O ,\O Aali\Hin=आली Re\Hin=री !\O The\Hin=ते brand\Eng new\Eng song\Eng is\Eng out\Eng ..\O Sung\Eng boldly\Eng and\Eng performed\Eng most\Eng mazze\Hin=मज्जे mein\Hin=मेइं in\Eng the\Eng streets\Eng of\Eng my\Eng City\Eng #\O Mumbai\Eng .\O Tha\Hin=ता …\O https\Eng ://\O t\Eng .\O co\Eng /\O iTu0yOqoxx\Eng 
446\O ,\O You\Hin=यूं my\Hin=मी friend\Eng are\Eng a\Eng doll\Eng ..\O Nd\Eng rom\Hin=रोम what\Hin=वाअत I\Eng hear\Eng the\Eng women\Eng are\Eng liking\Eng your\Eng voice\Eng very\Eng much\Eng .\O 😈\EMT @\O RedFM\Eng _\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O N0aEcVbjbs\Eng 
447\O ,\O Okkkk\Hin=अक्क्क्क Thankyou\Eng for\Eng all\Eng the\Eng love\Eng and\Eng for\Eng this\Eng bangin\Hin=बन्गीं ’\O sesh\Hin=सेश of\Eng #\O AskMalishka\Eng .\O Have\Eng a\Eng beautiful\Eng weekend\Eng and\Eng a\Eng very\Eng Hap\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O o4QCuXBTMi\Eng 
448\O ,\O To\Hin=तू an\Eng alarm\Eng on\Eng weekdays\Eng and\Eng to\Eng mom\Eng ’\O s\Eng plants\Eng on\Eng the\Eng weekend\Eng :)\EMT Thags\Eng the\Eng only\Eng time\Eng I\Eng get\Eng to\Eng notice\Eng :)\EMT Happy\Eng weekend\Eng y\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O uV1nKqYmhr\Hin=उव्1zक्क़िम्ह्र 
449\O ,"\O Deeply\Eng upset\Eng ,\O yes\Eng .\O Very\Eng down\Eng in\Eng the\Eng dumps\Eng for\Eng sure\Eng .\O I\Hin=इ ’\O ve\Eng called\Eng it\Eng being\Eng depressed\Eng yes\Eng ,\O but\Eng life\Eng always\Eng helps\Eng you\Eng b\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ewynNM4qzA\Eng "\O 
450\O ,\O Not\Eng a\Eng penny\Eng :)\EMT I\Eng ’\O m\Eng very\Eng white\Eng that\Eng way\Eng 😘\EMT #\O AskMalishka\Hin=अस्कमलिश्का https\Eng ://\O t\Eng .\O co\Hin=को /\O Ygx1qniRsV\Eng 
451\O ,\O Tumhari\Hin=तुम्हारी taste\Hin=तसते achchi\Hin=अच्ची hai\Hin=हैं issliye\Hin=इस्सलिये #\O AskMalishka\Hin=अस्कमलिश्का https\Eng ://\O t\Eng .\O co\Eng /\O gX479pCQum\Eng 
452\O ,\O I\Hin=इ ’\O m\Eng shooting\Eng this\Eng whole\Eng weekend\Eng .\O And\Eng perhaps\Eng even\Eng the\Eng next\Eng but\Eng I\Eng ’\O m\Eng giving\Eng out\Eng passes\Eng :)\EMT Party\Eng hard\Eng for\Eng me\Hin=मे Ok\Hin=अक ?;)…\O https\Eng ://\O t\Eng .\O co\Eng /\O hdfv7X39Iv\Eng 
453\O ,\O Can\Hin=सकें you\Eng believe\Eng I\Eng got\Eng fed\Eng by\Eng my\Eng lovely\Hin=लवय P\Hin=प .\O D\Eng while\Eng I\Eng was\Eng furiously\Eng typing\Eng to\Eng reply\Eng to\Eng you\Hin=यूं guys\Eng !\O Family\Eng hai\Hin=हैं re\Hin=री ye\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O qFiBrp7BRO\Hin=क़्फाइब्र्प्7बरो 
454\O ,@\O 26rjun\Eng Monsoon\Eng madhye\Hin=मधाए survey\Eng karlya\Eng nantar\Hin=नंतर saangnar\Hin=सांगनार #\O AskMalishka\Hin=अस्कमलिश्का #\O MalishkaKoMattSunn\Hin=म्लिश्काकोमेट्सुन्न 
455\O ,\O I\Eng have\Eng no\Eng memory\Eng of\Eng it\Eng at\Eng all\Eng !!\O I\Eng am\Hin=आम not\Eng easily\Eng embarrassed\Eng as\Eng you\Eng will\Eng see\Eng if\Eng you\Eng listen\Eng on-air\Eng 😂😂😂\O @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Eng /\O QpuDGR0GTU\Eng 
456\O ,"@\O nafis\Eng _\O ahmd\Hin=अह्म्ड़ _\O Awaaz\Hin=आवाज़ nahi\Hin=नाही haunsle\Hin=हौंस्ले buland\Hin=बुलंड hone\Hin=होन chahiye\Hin=चाहिये mere\Hin=मेर dost\Hin=दोस्त ,\O sulu\Hin=सुलू ki\Hin=की tarah\Hin=तरह #\O AskMalishka\Hin=अस्कमलिश्का @\O MalsihkaKoMattSunn\Hin=मलसिअकाकोमेट्सुन्न "\O 
