,id,tweet
724,724\O ,@\O Imangadbedi\Eng @\O StarGoldIndia\Hin=स्तार्गोल्दिंदिया Wah\Hin=वाह Bedi\Hin=बेदी !\O U\Hin=उ r\Hin=र very\Eng smart\Eng !\O 
725,725\O ,\O RT\Eng @\O StarGoldIndia\Eng :\O Quick\Eng !\O Tell\Eng us\Eng 3\O movies\Eng starring\Eng @\O taapsee\Hin=टापसी .\O 
727,727\O ,"\O Wishing\Eng you\Eng all\Eng lots\Eng of\Eng happiness\Eng ,\O family\Eng time\Eng and\Eng laughter\Eng this\Eng Diwali\Hin=दिवाली .\O 
Let\Hin=लेत ’\O s\Eng splurge\Eng on\Eng food\Eng n\Eng not\Eng fire\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O toGc174Z6B\Eng \O "
728,728\O ,\O RT\Eng @\O PlanC\Eng _\O Studios\Eng :\O #\O NotAllMen\Eng but\Eng what\Eng about\Eng #\O MeToo\Hin=मीटो ?\O Let\Hin=लेत ’\O s\Hin=स all\Eng respect\Eng each\Eng other\Eng and\Eng be\Eng responsible\Eng individuals\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O LkOreZxbQt\Hin=लकोरेज़्क्स्ब्क़्त 
729,729\O ,"#\O Repost\Eng @\O maximindia\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
Black\Eng and\Eng white\Eng for\Eng life\Hin=लाइफ !\O @\O taapsee\Eng 💯\O #\O TapCxMaxim\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 1jV2oLrVGb\Eng \O "
731,731\O ,"#\O Repost\Eng @\O WeddingTimesTOI\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
“\O When\Eng people\Eng don\Eng ’\O t\Eng expect\Eng anything\Eng of\Eng me\Eng and\Eng I\Eng manage\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O WxyXXjzxoh\Hin=व्क्स्य्क्स्क्स्ज्ज़्क्सोह \O "
732,732\O ,"#\O Repost\Eng @\O WeddingTimesTOI\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
This\Eng November\Eng ,\O catch\Hin=कत्च @\O taapsee\Hin=टापसी on\Hin=ओं the\Eng cover\Eng of\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5342QKYX3z\Eng \O "
733,733\O ,@\O Avinash\Hin=अविनश _\O Mirror\Eng Then\Eng you\Eng have\Eng to\Eng listen\Eng to\Eng your\Eng taste\Eng buds\Eng n\Hin=न fly\Eng down\Eng to\Eng delhi\Hin=दिल्ली !\O 
734,734\O ,@\O ankupande\Eng Atleast\Eng u\Eng can\Eng proudly\Eng say\Eng u\Hin=उ made\Eng the\Eng most\Eng out\Eng of\Eng your\Eng delhi\Hin=दिल्ली visit\Eng !\O 
735,735\O ,"\O Momos\Eng ordered\Eng 
Chole\Hin=कोले Bhature\Hin=भटूर ready\Eng 
Dilli\Hin=दिल्ली here\Hin=हेरे I\Eng comeeeeee\Hin=क्मीईईए 😁\O 
Time\Eng to\Eng kick\Eng start\Eng Diwali\Eng my\Hin=मी way\Eng !\O Food\Eng ,\O family\Eng and\Eng laughter\Eng !\O "
737,737\O ,"\O Inka\Hin=इनका naam\Hin=नाअम् hai\Hin=हैं Aarti\Hin=आरती ...\O Poora\Hin=पूरा naam\Hin=नाअम् .....\O Jald\Hin=जल्ड़ hi\Hin=ही pata\Hin=पटा chalega\Hin=चलेगा ...\O 
Next\Eng one\Eng ....\O #\O Mulk\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O fJVsl2VUyY\Hin=फ्ज्व्स्ल्2वुयी \O "
738,738\O ,\O RT\Eng @\O htshowbiz\Eng :\O I\Eng still\Eng enter\Eng award\Eng shows\Eng wondering\Eng if\Eng people\Eng recognise\Eng me\Eng :\O @\O taapsee\Hin=टापसी tells\Eng @\O monikarawal\Eng .\O @\O htTweets\Eng #\O Judwaa2\Hin=जुड्व़अ2 https\Eng ://\O t\Eng .\O co\Eng /\O 5Ew\Eng …\O 
739,739\O ,\O Ab\Hin=अब bas\Hin=भई theatre\Hin=थिएट्रे mein\Hin=मेइं aane\Hin=आने ka\Hin=का intezaar\Hin=इंतज़ार rahega\Hin=रहेगा !\O What\Hin=वाअत an\Eng endearing\Eng trailer\Eng 👏🏼👏🏼👏🏼👏🏼👏🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O yzJmSyGF9a\Eng 
740,740\O ,\O Landed\Eng in\Eng Mumbai\Eng &\O gt\Eng ;\O unpacking\Eng &\O gt\Eng ;\O packing\Eng &\O gt\Eng ;\O early\Eng morning\Eng meetings\Eng &\O gt\Eng ;\O off\Eng to\Eng Lucknow\Eng !\O All\Hin=अऔल in\Eng 10\O hours\Eng ...\O did\Eng I\Eng miss\Eng out\Eng on\Eng something\Eng ?🤔\O oh\Hin=ओह ya\Hin=या !\O Sleep\Eng 😒\O 
741,741\O ,\O Thank\Eng you\Eng for\Eng the\Eng reboot\Eng !\O Refreshed\Eng and\Eng rejuvenated\Eng back\Eng to\Eng some\Eng Serious\Eng business\Eng now\Eng 😎\EMT UpNext\Eng #\O Mulk\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZY7LUqbVRr\Hin=ज्य्7लुक़ब्व्र 
742,742\O ,"\O Celebrate\Eng a\Eng musical\Eng Diwali\Eng this\Eng year\Eng with\Eng me\Hin=मे 😁😁😁😁\O 
@\O rudrani\Eng _\O rudz\Eng @\O zoomtv\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 8N0pscAGcE\Eng \O "
743,743\O ,\O RT\Eng @\O DiscoveryComm\Eng :\O .@\O AnimalPlanet\Eng is\Eng teaming\Eng up\Eng with\Eng actress\Eng @\O taapsee\Hin=टापसी to\Eng help\Eng save\Eng more\Eng wild\Eng tigers\Eng with\Eng ‘\O Mission\Eng Big\Eng Cat\Eng .’\O #\O TigerThursday\Eng …\O 
745,745\O ,\O Janamdin\Hin=जनमडिन aapka\Hin=आपका khushkismati\Hin=खुश्किसमती hum\Hin=हम sab\Hin=सब ki\Hin=की 😁\O #\O HappyBirthdayBachchanSir\Hin=हैप्पीबर्थ़डीबचचंअसिर @\O SrBachchan\Eng https\Eng ://\O t\Eng .\O co\Eng /\O GoEF1gFoJy\Eng 
746,746\O ,"\O RT\Eng @\O MaximIndia\Eng :\O Red\Eng hot\Hin=होYट @\O taapsee\Hin=टापसी !\O 🔥🔥🔥\O 
#\O TapCxMaxim\Hin=तप्च्क्ष्मैक्जिम #\O TaapseePannu\Hin=टापसीपननू #\O Maxim\Hin=मैक्जिम #\O HotRightNow\Hin=होत्रिघ्टनो #\O SexyBack\Hin=सेक्सीबैक https\Eng ://\O t\Eng .\O co\Eng /\O VfpPMIFvH1\Eng \O "
747,747\O ,"\O RT\Eng @\O MaximIndia\Eng :\O Here\Eng comes\Eng our\Eng October\Eng covergirl\Eng firebrand\Eng @\O taapsee\Hin=टापसी !\O ❤️\O 
#\O TapCxMaxim\Hin=तप्च्क्ष्मैक्जिम #\O TaapseePannu\Hin=टापसीपननू #\O Maxim\Hin=मैक्जिम #\O HotRightNow\Hin=होत्रिघ्टनो #\O SexyBack\Hin=सेक्सीबैक https\Eng ://\O t\Eng .\O c\Eng …\O "
748,748\O ,\O This\Eng is\Eng a\Eng nostalgic\Eng moment\Eng with\Eng @\O BeingSalmanKhan\Eng &\O amp\Eng ;\O @\O Varun\Eng _\O dvn\Hin=द्व्न going\Hin=गोइन्Mग #\O TanTanaTan\Hin=तांतनतन Catch\Hin=कत्च the\Eng BTS\Eng fun\Eng 👉\O https\Eng ://\O t\Eng .\O co\Eng /\O 0Obaac6dzT\Eng @\O Asli\Eng _\O Jacqueline\Eng 
750,750\O ,"\O Be\Eng powerful\Eng ,\O be\Eng beautiful\Eng ,\O be\Hin=बे you\Hin=यूं .\O No\Eng judgement\Eng .\O No\Eng labels\Eng .\O Join\Eng me\Hin=मे in\Hin=इन my\Eng revolution\Eng as\Eng I\Eng #\O breakthehashtag\Eng with\Eng nykaa\Hin=नाइअका 
https\Eng ://\O t\Eng .\O co\Hin=को /\O RMYsBIzT7Y\Hin=र्म्स्बिज़्त्7ई \O "
751,751\O ,"\O Here\Eng it\Eng is\Eng ....\O 
#\O Fighter\Eng #\O Engineer\Eng #\O Actress\Eng #\O Rebel\Eng #\O BreakTheHashtag\Hin=ब्रेअख़्थेहश्तग #\O Nykaa\Hin=नाइअका https\Eng ://\O t\Eng .\O co\Hin=को /\O OsMS6HeFix\Eng \O "
752,752\O ,\O When\Eng you\Eng are\Eng so\Eng excited\Eng for\Eng something\Eng coming\Eng up\Eng that\Eng u\Hin=उ don\Hin=दान ’\O t\Hin=त care\Eng how\Eng scary\Eng you\Eng are\Eng looking\Eng 😜\EMT coz\Eng believe\Eng “\O you\Eng ’\O re\Hin=री s\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O r9P7ZsWeUM\Eng 
753,753\O ,"\O Be\Hin=बे at\Eng it\Eng .....\O 
coz\Hin=कोज़ “\O you\Hin=यूं ’\O re\Hin=री strong\Eng you\Eng ’\O re\Hin=री beautiful\Eng ”\O 
Watch\Eng out\Eng this\Eng space\Eng for\Eng more\Eng soon\Eng ....\O 
#\O BTS\Eng #\O Fighter\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2nC0luTAPl\Hin=2Mच्0लुटप्ल \O "
754,754\O ,\O Finally\Eng crazy\Eng weeks\Eng come\Eng to\Eng an\Eng end\Eng .\O Now\Eng time\Eng for\Eng the\Eng mandatory\Eng ritual\Eng called\Eng “\O holiday\Eng ”\O before\Eng I\Eng get\Eng back\Eng to\Eng some\Eng real\Hin=रियल SERIOUS\Hin=सेरियस work\Eng #\O Traveller\Eng 
755,755\O ,"\O And\Hin=एंड @\O chay\Eng _\O akkineni\Eng your\Eng happiness\Eng in\Eng pictures\Eng says\Eng it\Eng all\Eng !\O Congratulations\Eng to\Eng you\Eng .\O Make\Eng beautiful\Eng memories\Eng ,\O many\Eng mo\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O uQGuEl00Vq\Eng \O "
756,756\O ,\O Can\Hin=सकें ’\O t\Eng believe\Eng it\Eng has\Eng already\Eng been\Eng 50\O days\Eng since\Eng we\Eng took\Eng the\Eng final\Eng plunge\Eng and\Eng emerged\Eng victorious\Eng .\O Thank\Eng you\Hin=यूं my\Eng team\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O EzgxUAsLwM\Hin=एज्ग्क्जैस्लव्म 
758,758\O ,\O Kyonki\Hin=क्योंकि ek\Hin=इक baar\Hin=बार se\Hin=सी dil\Hin=दिल nahi\Hin=नाही bharta\Hin=भरता !\O Book\Hin=बुक karo\Hin=करो aur\Hin=अर् dekho\Hin=देखो #\O Judwaa2\Hin=जुड्व़अ2 dobara\Hin=दोबारा !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O zeewLc5Ngd\Hin=जीव्ल्च्5Mग्ड @\O Varun\Hin=वरुँ _\O dvn\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O eGSLYLTmcu\Eng 
759,759\O ,"#\O Repost\Eng @\O DevsB\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
10.05.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O ShrutiSancheti1\Hin=श्रुटिसांचेति1 ❤️\O for\Eng screening\Eng of\Eng a\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O YDGWS38ScK\Eng \O "
760,760\O ,"#\O Repost\Eng @\O DevsB\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
10.04.17\O #\O TaapseePannu\Hin=टापसीपननू in\Eng lamajouniofficial\Eng and\Eng urbanoutfitters\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O GK1XInX1oo\Eng \O "
762,762\O ,\O RT\Eng @\O MumbaiMirror\Eng :\O #\O MumbaiHeroes\Eng |\O #\O Jury\Eng member\Eng #\O TapseePannu\Hin=तप्सीपननू -\O I\Hin=इ couldn't\Eng miss\Eng being\Eng a\Eng part\Eng of\Eng this\Eng .\O It\Eng was\Eng quite\Eng intimidating\Eng too\Eng @\O taapsee\Hin=टापसी …\O 
763,763\O ,@\O WardaNadiadwala\Hin=वरदनाड्याड्वाला Anytime\Hin=एनाइतीम !!!!\O As\Eng soon\Eng as\Eng she\Eng manages\Eng to\Eng breathe\Eng outside\Eng choking\Eng traffic\Eng 🙄\O 
764,764\O ,"\O When\Eng real\Eng life\Hin=लाइफ ‘\O Judwaas\Hin=जुड्व़आस ’\O come\Hin=कौमअ all\Eng the\Eng way\Eng to\Eng make\Eng it\Eng even\Eng more\Eng special\Eng !\O #\O ThankYou\Eng 
P\Eng .\O S\Eng look\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O wPXzq4wYMb\Hin=व्प्क्ज़्क़्4विम्ब \O "
765,765\O ,\O Let\Hin=लेत ’\O s\Hin=स welcome\Eng the\Eng new\Eng member\Eng in\Eng our\Eng family\Eng ‘\O Margaret\Eng ’\O you\Eng beauty\Eng !\O #\O GiftYourself\Eng #\O BlueEyedBeauty\Eng https\Eng ://\O t\Eng .\O co\Eng /\O Hx45KZoQtu\Eng 
766,766\O ,"\O When\Eng I\Eng saw\Eng my\Eng father\Eng ’\O s\Eng hockey\Eng medals\Eng ,\O never\Eng thought\Eng the\Eng dormant\Eng genes\Eng in\Eng me\Eng will\Hin=विल b\Eng of\Eng any\Eng use\Eng ,\O until\Eng now\Eng !…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Z7TBc3HKuF\Hin=ज़्7त्ब्च्3अकुफ \O "
767,767\O ,"\O Did\Hin=दीद u\Hin=उ say\Hin=सय something\Eng ..........????\O 
#\O Flickitlikethat\Eng #\O Throwback\Eng #\O ExhibitMagazineShoot\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O BQOU9Kq8xq\Eng \O "
768,768,👏🏼👏🏼👏🏼\O good\Eng observation\Eng I\Eng must\Eng say\Eng !\O #\O SocksItIs\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O dTNGj7WaZG\Hin=ड्त्Mज्7अवाज्ग 
769,769\O ,"#\O Repost\Eng @\O DevsB\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
#\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O hass\Hin=हास _\O idriss\Eng shirt\Eng dress\Eng and\Eng luluandskyofficial\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ca5zCr8V3b\Eng \O "
770,770\O ,\O RT\Eng @\O rudrani\Eng _\O rudz\Eng :\O Will\Eng be\Eng chatting\Hin=चट्टिंग with\Eng the\Eng talented\Eng @\O taapsee\Eng in\Hin=इन an\Eng hour\Eng .\O Send\Eng us\Eng your\Eng questions\Eng asap\Eng !\O @\O ZoomTV\Hin=ज़ूम्व #\O DiwaliBeats\Hin=दिवालिबीट्स 
771,771\O ,\O Thank\Eng you\Hin=यूं guys\Eng for\Eng the\Eng overwhelming\Eng response\Eng to\Hin=तू #\O Judwaa2\Hin=जुड्व़अ2 .\O Keep\Hin=कीप the\Eng love\Eng pouring\Eng in\Eng !\O #\O InTheatresNow\Eng https\Eng ://\O t\Eng .\O co\Eng /\O G4vyp9fNJH\Eng 
772,772\O ,@\O SimrankMundi\Eng @\O Asli\Hin=असली _\O Jacqueline\Eng Let\Hin=लेत ’\O s\Eng put\Eng our\Eng energies\Eng into\Eng doing\Eng something\Eng that\Eng we\Eng never\Eng have\Eng to\Eng raise\Eng this\Eng questio\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 1C2Mhmrg3R\Eng 
773,773\O ,\O RT\Eng @\O ColorsTV\Eng :\O The\Eng cast\Eng of\Eng #\O Judwaa2\Hin=जुड्व़अ2 are\Hin=अरे visiting\Eng the\Eng #\O BiggBoss\Eng house\Eng .\O Tune\Hin=धुने in\Eng tonight\Eng at\Eng 9\O PM\Eng to\Eng watch\Eng them\Eng enjoy\Eng a\Eng fun\Eng evening\Eng .\O #\O BB11\Eng https\Eng …\O 
774,774\O ,"\O RT\Eng @\O BiggBoss\Eng :\O Watch\Eng the\Eng gorgeous\Eng and\Eng talented\Eng #\O Judwaa2\Hin=जुड्व़अ2 star\Hin=स्तार @\O taapsee\Eng spread\Eng her\Eng magic\Eng in\Eng the\Eng #\O BB11\Eng premiere\Eng ,\O tonight\Eng at\Eng 9\O PM\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /…\O "
775,775\O ,"\O RT\Eng @\O htshowbiz\Eng :\O #\O BiggBoss11\Eng pics\Eng :\O @\O BeingSalmanKhan\Eng welcomes\Eng #\O Judwaa2\Hin=जुड्व़अ2 ’\O s\Hin=स @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न ,\O @\O Asli\Hin=असली _\O Jacqueline\Eng ,\O @\O taapsee\Hin=टापसी 
https\Eng ://\O t\Eng .\O co\Hin=को /\O G1G3RPwAjB\Eng https\Eng …\O "
776,776\O ,"\O RT\Eng @\O BiggBoss\Eng :\O The\Eng anticipation\Eng is\Eng building\Eng !\O Just\Eng 6\O short\Eng hours\Eng before\Eng the\Eng premiere\Eng of\Eng #\O BB11\Eng . \O Catch\Eng @\O BeingSalmanKhan\Eng with\Eng #\O Judwaa2\Hin=जुड्व़अ2 stars\Eng ,\O to\Eng …\O "
778,778\O ,\O This\Eng has\Eng etched\Eng beautiful\Eng memories\Eng in\Eng my\Eng mind\Eng 😄\EMT see\Hin=से u\Hin=उ in\Eng the\Eng house\Eng tomorrow\Eng 😜\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O twhEIB9ObH\Hin=तव्हेइब्9औभ 
779,779\O ,"\O What\Eng a\Eng picture\Eng perfect\Eng way\Eng to\Eng end\Eng this\Eng beautiful\Eng chapter\Eng #\O Judwaa2\Hin=जुड्व़अ2 #\O BigBoss\Eng Thank\Eng you\Eng for\Eng all\Eng the\Eng love\Eng .\O 
It's\Eng all\Eng you\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O oNhXLD0Cbp\Eng \O "
780,780\O ,"\O It\Hin=इट ’\O s\Eng a\Eng festive\Eng weekend\Eng ,\O guys\Eng !\O Go\Hin=गो to\Eng the\Eng theatre\Eng nearest\Eng to\Eng you\Eng and\Eng dance\Eng to\Eng the\Eng tunes\Eng of\Hin=ऑफ #\O Judwaa2\Hin=जुड्व़अ2 #\O HappyDussehra\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ILovKC5SCC\Eng \O "
781,781\O ,@\O mathiasboe\Eng 😂😂😂😂😂\O that's\Eng y\Hin=य u\Eng went\Eng to\Eng London\Eng coz\Hin=कोज़ u\Eng didn't\Eng get\Eng tickets\Eng in\Eng Denmark\Eng !\O 
782,782\O ,\O Ending\Eng a\Eng beautiful\Eng journey\Eng with\Eng poise\Eng .\O The\Eng Dream\Eng team\Eng for\Eng any\Eng girl\Eng !\O (\O P\Eng .\O S\Hin=स -\O we\Eng missed\Eng u\Hin=उ @\O DevsB\Hin=देव्स्ब u\Eng were\Eng there\Eng in\Eng soul\Eng w\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 9utUJ7oxLw\Eng 
783,783\O ,\O Here's\Eng all\Eng the\Eng BTS\Eng fun\Eng from\Eng the\Eng sets\Eng of\Eng #\O Judwaa2\Hin=जुड्व़अ2 !\O https\Eng ://\O t\Eng .\O co\Eng /\O J1TeOetZw8\Eng @\O Varun\Eng _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O iaXPaExoAY\Hin=इऐक्स्पेक्सोआय 
784,784\O ,@\O rohitkhilnani\Hin=रोहिटखिलनानी Awwww\Hin=आव्व्व्व् !\O Thankq\Hin=थन्क्क़ Rohit\Eng !\O You\Eng are\Hin=अरे too\Eng kind\Eng ❤️\O 
785,785\O ,"\O And\Eng that\Eng was\Eng the\Eng grand\Eng finale\Eng of\Eng the\Eng SOCKS\Eng with\Hin=विद THE\Hin=ते socks\Eng !\O 
#\O Repost\Eng @\O DevsB\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5QoAmVwmfD\Eng \O "
786,786\O ,"\O RT\Eng @\O inshorts\Eng :\O Varun\Eng ,\O Jacqueline\Eng ,\O Taapsee's\Hin=टापसे'स '\O Judwaa\Hin=जुड्व़अ 2'\O hits\Hin=हीट theatres\Eng 
Stay\Eng Informed\Eng with\Eng Inshorts\Eng ,\O India's\Eng highest\Eng rated\Eng news\Eng app\Eng !\O 
https\Eng ://\O t\Eng .…\O "
787,787\O ,\O Watch\Eng this\Eng crazy\Eng but\Eng cute\Eng pairing\Eng of\Eng Samaara\Hin=समारा and\Eng Prem\Eng in\Eng theatres\Eng close\Eng to\Eng you\Hin=यूं !\O #\O Judwaa2\Hin=जुड्व़अ2 in\Eng cinemas\Eng now\Hin=नो !…\O https\Eng ://\O t\Eng .\O co\Eng /\O s1IUsvSBm9\Eng 
788,788\O ,@\O TheFarahKhan\Eng @\O Varun\Eng _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng @\O tapseepannu\Hin=तप्सीपननू @\O WardaNadiadwala\Hin=वरदनाड्याड्वाला Thankq\Hin=थन्क्क़ !\O And\Hin=एंड I\Eng hope\Eng you\Eng watch\Eng it\Eng soon\Eng 😁\O 
789,789\O ,\O Dussehra\Eng ka\Hin=का double\Hin=डब्लअ mazaa\Hin=मज़ा hogaya\Hin=होगाया hai\Hin=हैं shuru\Hin=शुरू !\O Book\Hin=बुक now\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O zeewLc5Ngd\Hin=जीव्ल्च्5Mग्ड @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 0gzQEIScGQ\Eng 
790,790\O ,@\O abhilashthapli\Hin=अभिलाश्थापली Bhai\Hin=भाई let's\Hin=लेत्'स jam\Eng next\Eng time\Eng .\O Main\Hin=मां saare\Hin=सारे steps\Eng sikha\Hin=सिखा dungi\Hin=दूँगी 
791,791\O ,"\O So\Hin=सो what\Eng if\Eng we\Eng weren't\Eng born\Eng twins\Eng ,\O we\Eng make\Eng sure\Eng our\Eng socks\Eng make\Eng us\Eng one\Eng 😜\EMT #\O Twinning\Hin=ट्विनिंग #\O judwaa2\Hin=जुड्व़अ2 https\Eng ://\O t\Eng .\O co\Hin=को /\O uWWyyEX2L6\Eng \O "
792,792\O ,"#\O Repost\Eng @\O DevsB\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
Drop\Eng everything\Hin=एवराइथिंग !\O #\O Judwaa2\Hin=जुड्व़अ2 is\Hin=इस about\Eng to\Eng hit\Eng the\Eng theaters\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O dOHVpy4OBL\Eng \O "
793,793\O ,"#\O Repost\Eng @\O DevsB\Eng (\O get\Eng _\O repost\Eng )\O 
・・・\O 
#\O TaapseePannu\Hin=टापसीपननू in\Eng _\O purple\Eng _\O paisley\Eng _\O (\O Glam\Eng Squad\Eng :\O @\O nickyjaan\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O kcyxDKLhSy\Eng \O "
794,794\O ,\O Prem\Hin=प्रीम ya\Hin=या Raja\Hin=राजा ?\O Confusion\Eng is\Eng double\Eng !\O See\Eng all\Eng the\Eng scoops\Eng from\Hin=फ्रोम #\O AaTohSahi\Hin=आतोहसही is\Hin=इस here\Eng https\Eng ://\O t\Eng .\O co\Eng /\O IdogFLpo1a\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Wh1wShrlx3\Eng 
795,795\O ,"\O RT\Eng @\O IIFA\Eng :\O Looks\Eng like\Eng @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न &\O amp\Hin=अम्प ;\O @\O taapsee\Hin=टापसी are\Hin=अरे always\Eng on\Eng a\Eng mission\Eng to\Eng steal\Eng hearts\Eng just\Eng like\Eng #\O Samara\Hin=समारा &\O amp\Hin=अम्प ;\O #\O Raja\Hin=राजा !\O We\Hin=वी are\Eng ready\Eng for\Hin=फॉर #\O Judwa2\Hin=जुड्व2 ,\O Ar\Hin=अर …\O "
796,796\O ,\O Exist\Eng on\Eng your\Eng own\Eng damn\Eng terms\Eng !\O #\O Rebel\Eng #\O OnMyOwn\Eng #\O makeadifference\Eng #\O Judwaa2\Eng #\O PromotionSpree\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O jHKwpXFBFm\Hin=झ्क्व्प्क्स्फ्ब्फ्म 
797,797\O ,@\O tanveerghazi\Hin=तन्वीराजी @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng Thankq\Eng !\O 
798,798\O ,@\O ronnielahiri\Eng @\O Varun\Eng _\O dvn\Eng Moscow\Eng mein\Eng release\Eng ho\Hin=ह rahi\Hin=रही hai\Hin=हैं !\O 
799,799\O ,\O RT\Eng @\O Bollyhungama\Hin=बोल्युँगामा :\O .@\O taapsee\Hin=टापसी on\Eng whether\Eng she\Eng ’\O ll\Eng do\Hin=दो more\Eng high\Eng octane\Eng COMMERCIAL\Hin=क्यमर्शिअल films\Hin=फिल्म #\O Judwaa2\Hin=जुड्व़अ2 #\O TalkingFilms\Hin=टॉकिंगफिल्म https\Eng ://\O t\Eng .\O co\Hin=को /\O Y3ytBQpQwi\Hin=य्3आइत्ब्क्प्क़्वी 
800,800\O ,\O Raja\Hin=राजा ki\Hin=की izzat\Hin=इज़्ज़त ...\O Aapko\Hin=आपको pata\Hin=पटा chalega\Hin=चलेगा iss\Hin=इश्स #\O Judwaa2KiDussehra\Hin=जुड्व़अ2कीदशहरा ko\Hin=को !\O #\O Judwaa2\Hin=जुड्व़अ2 @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng @\O foxstarhindi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 8ahoDkfScG\Eng 
801,801\O ,\O Exist\Eng on\Eng your\Eng own\Eng damn\Eng terms\Eng !\O #\O Rebel\Eng #\O OnMyOwn\Eng #\O makeadifference\Eng #\O Judwaa2\Eng #\O PromotionSpree\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ycRFRaVNkr\Hin=आइकर्फ्रव्zक्र 
802,802\O ,\O Life\Hin=लाइफ is\Eng too\Eng short\Eng for\Eng boring\Eng hair\Hin=हेयर !\O #\O HairdosLikeThese\Hin=हैर्दोसलिकेठसे #\O Hairandthere\Eng #\O curls\Eng #\O crowningglory\Eng #\O messybraids\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O RBw4MFabWB\Eng 
803,803\O ,\O N\Hin=न this\Eng mode\Eng shall\Eng never\Eng leave\Hin=लेव me\Eng 😂😂😁\O https\Eng ://\O t\Eng .\O co\Hin=को /\O tannkyVqLt\Hin=टंक्य्व्क़्ल्त 
804,804\O ,\O Dussehra\Eng ka\Hin=का ENTERTAINMENT\Hin=एंटेअरट्नमेंट hoga\Hin=होग kal\Hin=का double\Hin=डब्लअ !\O #\O Judwaa2KiDussehra\Hin=जुड्व़अ2कीदशहरा #\O Judwaa2\Hin=जुड्व़अ2 @\O Varun\Hin=वरुँ _\O dvn\Hin=द्व्न @\O Asli\Hin=असली _\O Jacqueline\Eng @\O foxstarhindi\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Y1rB1PNgIO\Eng 
